"Extension","Level","Install date","EP"
"Advanced optics","5","2213-09-01 22:11:51","-1200"
"Advanced optics","4","2213-08-31 12:51:48","-960"
"Advanced optics","3","2213-08-30 21:06:13","-720"
"Advanced optics","2","2213-08-30 21:06:11","-480"
"Thelodica robot control","8","2213-08-30 21:06:05","-17280"
"Advanced robotics","8","2213-08-25 16:03:45","-13440"
"Advanced robotics","7","2213-08-23 11:48:45","-8820"
"Spark teleportation","3","2213-08-22 22:26:01","-900"
"Spark teleportation","2","2213-08-22 20:39:01","-600"
"Spark teleportation","1","2213-08-21 22:30:21","-60"
"Economical shield usage","3","2213-08-18 14:24:26","-540"
"Efficient energy transfer","4","2213-08-18 14:19:23","-480"
"Economical shield usage","2","2213-08-18 14:14:16","-360"
"Economical shield usage","1","2213-08-18 14:14:14","-180"
"Advanced kinematics","7","2213-08-14 00:26:31","-3780"
"General firing","8","2213-08-13 13:58:01","-1920"
"General firing","7","2213-08-13 13:57:59","-1260"
"Advanced kinematics","6","2213-08-13 13:57:40","-2160"
"Advanced kinematics","5","2213-08-13 13:57:37","-900"
"Signal detection","3","2213-08-07 20:06:29","-900"
"Remote sensor amplification","1","2213-07-27 21:07:10","-120"
"Thelodica robot control","7","2213-07-27 18:47:25","-11340"
"Advanced kinematics","4","2213-07-20 02:45:06","-720"
"Advanced kinematics","3","2213-07-19 13:39:13","-540"
"Advanced kinematics","2","2213-07-19 01:13:18","-360"
"Industrial robot control","1","2213-07-18 11:03:04","-540"
"Signal detection","2","2213-07-18 11:02:36","-600"
"Accelerated armor repair","6","2213-07-16 22:24:25","-720"
"Optimized electronic warfare","6","2213-07-16 22:23:15","-2160"
"Optimized signal masking","5","2213-07-16 22:23:03","-1200"
"Optimized signal masking","4","2213-07-16 22:23:01","-960"
"Optimized shield usage","5","2213-07-16 22:22:37","-600"
"Optimized signal masking","3","2213-07-16 22:21:51","-720"
"Optimized signal masking","2","2213-07-16 22:21:46","-480"
"Signal detection","1","2213-07-16 22:21:33","-300"
"Optimized signal masking","1","2213-07-16 22:19:16","-240"
"Accumulator expansion","7","2213-07-13 01:13:40","-6300"
"Improved shield technology","5","2213-07-13 01:12:38","-600"
"Improved shield technology","4","2213-07-13 01:12:36","-480"
"Improved shield technology","3","2213-07-13 01:12:34","-360"
"Improved shield technology","2","2213-07-13 01:12:31","-240"
"Improved shield technology","1","2213-07-13 01:12:28","-120"
"Optimized shield usage","4","2213-07-13 01:12:25","-480"
"Optimized shield usage","3","2213-07-13 01:12:22","-360"
"Optimized shield usage","2","2213-07-13 01:12:20","-240"
"Optimized shield usage","1","2213-07-13 01:04:57","-120"
"Signal masking","6","2213-07-10 21:20:28","-3600"
"Jamming electronics","8","2213-07-10 21:20:24","-5760"
"Complex jamming electronics","6","2213-07-10 21:20:15","-3600"
"Long range targeting","9","2213-07-09 23:33:18","-2700"
"Long range targeting","8","2213-07-09 23:32:24","-1920"
"Complex jamming electronics","5","2213-07-09 23:29:37","-1500"
"Complex jamming electronics","4","2213-07-09 23:29:35","-1200"
"Complex jamming electronics","3","2213-07-09 23:29:34","-900"
"Complex jamming electronics","2","2213-07-09 23:29:32","-600"
"Complex jamming electronics","1","2213-07-09 23:29:28","-300"
"Long distance electronic warfare","10","2213-07-09 23:28:42","-6000"
"Long distance electronic warfare","9","2213-07-09 23:28:40","-2700"
"Long distance electronic warfare","8","2213-07-09 23:28:38","-1920"
"Long range targeting","7","2213-07-09 23:28:35","-1260"
"Spec. ops. robot control","7","2213-07-09 23:27:51","-10080"
"Mechanics","6","2213-07-09 23:18:14","-720"
"Efficient ECM technology","6","2213-07-09 23:16:59","-3600"
"Long distance electronic warfare","7","2213-07-09 23:16:52","-1260"
"Jamming electronics","7","2213-07-09 23:16:48","-3780"
"Targeting","4","2213-07-09 23:16:25","-1200"
"Complex mechanics","6","2213-07-09 23:15:28","-1440"
"Optimized electronic warfare","5","2213-07-09 23:12:57","-900"
"Optimized electronic warfare","4","2213-07-09 23:12:56","-720"
"Optimized electronic warfare","3","2213-07-09 23:12:54","-540"
"Accelerated target locking","8","2213-07-09 23:12:48","-3840"
"Accelerated target locking","7","2213-07-09 23:12:46","-2520"
"Sensor connection","3","2213-07-09 23:12:27","-540"
"Sensor connection","2","2213-07-09 23:12:25","-360"
"Sensor connection","1","2213-07-09 23:12:23","-180"
"Sensor suppressing","5","2213-07-09 23:11:43","-1500"
"Sensor suppressing","4","2213-07-09 23:11:41","-1200"
"Sensor suppressing","3","2213-07-09 23:11:40","-900"
"Sensor suppressing","2","2213-07-09 23:11:38","-600"
"Sensor suppressing","1","2213-07-09 23:11:35","-300"
"Efficient ECM technology","5","2213-07-09 23:11:10","-1500"
"Efficient ECM technology","4","2213-07-09 23:11:08","-1200"
"Efficient ECM technology","3","2213-07-09 23:11:07","-900"
"Efficient ECM technology","2","2213-07-09 23:11:04","-600"
"Efficient ECM technology","1","2213-07-09 23:10:58","-300"
"Basic robotics","8","2213-07-09 23:08:46","-9600"
"Basic robotics","7","2213-07-09 23:08:45","-6300"
"Long distance electronic warfare","6","2213-07-09 23:07:54","-720"
"Jamming electronics","6","2213-07-09 23:07:52","-2160"
"Basic robotics","6","2213-07-09 23:02:24","-3600"
"Thelodica robot control","6","2213-07-09 23:02:15","-6480"
"Spec. ops. robot control","6","2213-07-09 23:00:38","-5760"
"Energy management","6","2213-07-09 22:23:27","-3600"
"Accumulator expansion","6","2213-07-09 22:23:09","-3600"
"Long distance electronic warfare","5","2213-07-09 22:22:40","-300"
"Long distance electronic warfare","4","2213-07-09 22:22:38","-240"
"Long distance electronic warfare","3","2213-07-09 22:22:37","-180"
"Long distance electronic warfare","2","2213-07-09 22:22:35","-120"
"Long distance electronic warfare","1","2213-07-09 22:22:32","-60"
"Jamming electronics","5","2213-07-09 22:22:05","-900"
"Jamming electronics","4","2213-07-09 22:22:03","-720"
"Signal masking","5","2213-07-09 22:21:43","-1500"
"Signal masking","4","2213-07-09 22:21:41","-1200"
"Signal masking","3","2213-07-09 22:21:38","-900"
"Signal masking","2","2213-07-09 22:21:37","-600"
"Signal masking","1","2213-07-09 22:21:34","-300"
"Spec. ops. robot control","5","2213-07-09 22:20:51","-2400"
"Spec. ops. robot control","4","2213-07-09 22:20:49","-1920"
"Spec. ops. robot control","3","2213-07-09 22:20:48","-1440"
"Spec. ops. robot control","2","2213-07-09 22:20:46","-960"
"Advanced magnetostatics","6","2213-07-06 22:57:05","-2880"
"Rapid-firing","6","2213-07-06 22:56:50","-2160"
"Sharpshooting","6","2213-07-06 22:56:46","-2160"
"Target analysis","6","2213-07-06 22:56:43","-2880"
"Accelerated target locking","6","2213-07-06 22:55:05","-1440"
"Demobilization","6","2213-07-06 22:55:01","-2160"
"Missile guidance","5","2213-07-06 22:51:26","-1800"
"Missile guidance","4","2213-07-06 22:51:24","-1440"
"Economical weapon usage","5","2213-07-06 22:50:47","-1800"
"Spec. ops. robot control","1","2213-07-06 22:39:08","-480"
"Reactor expansion","10","2213-03-25 12:53:32","-6000"
"Reactor expansion","9","2213-03-25 12:53:30","-2700"
"Reactor expansion","8","2213-03-25 12:53:23","-1920"
"Data processing","10","2213-03-25 12:52:05","-6000"
"Data processing","9","2213-03-25 12:52:01","-2700"
"Data processing","8","2213-03-25 12:51:47","-1920"
"Pelistal robot control","6","2213-03-25 12:45:58","-6480"
"Advanced kinematics","1","2212-10-07 14:50:23","-180"
"Advanced optics","1","2212-10-07 14:50:18","-240"
"Thelodica robot control","5","2212-10-07 14:50:10","-2700"
"Complex missile launch","5","2212-10-05 10:45:39","-900"
"Complex missile launch","4","2212-10-04 14:14:28","-720"
"Complex missile launch","3","2212-10-04 14:13:52","-540"
"Missile guidance","3","2212-10-04 14:13:40","-1080"
"Missile guidance","2","2212-10-04 14:13:38","-720"
"Propellant mixing","5","2212-10-04 14:13:32","-900"
"Propellant mixing","4","2212-10-04 14:13:30","-720"
"Pelistal robot control","5","2212-10-04 13:44:58","-2700"
"General firing","6","2212-09-29 18:01:32","-720"
"Seismics","5","2212-09-28 23:42:42","-900"
"Data processing","7","2212-09-28 01:13:31","-1260"
"Propellant mixing","3","2212-09-27 00:45:39","-540"
"Propellant mixing","2","2212-09-27 00:28:11","-360"
"Complex missile launch","2","2212-09-27 00:28:08","-360"
"Basic kinematics","5","2212-09-27 00:27:59","-600"
"Basic kinematics","4","2212-09-27 00:27:57","-480"
"Complex missile launch","1","2212-09-27 00:25:22","-180"
"Missile guidance","1","2212-09-27 00:25:15","-360"
"Economical armor usage","5","2212-09-25 12:26:46","-300"
"Economical armor usage","4","2212-09-25 12:26:44","-240"
"Seismics","4","2212-09-24 13:37:18","-720"
"Seismics","3","2212-09-24 13:37:15","-540"
"Seismics","2","2212-09-24 13:37:06","-360"
"Propellant mixing","1","2212-09-24 13:37:02","-180"
"Seismics","1","2212-09-24 13:36:57","-180"
"Optimized armor usage","5","2212-09-23 01:36:47","-300"
"Optimized armor usage","4","2212-09-23 01:36:45","-240"
"Optimized engineering","1","2212-09-23 01:35:00","-120"
"Pelistal robot control","4","2212-09-23 00:28:32","-2160"
"Pelistal robot control","3","2212-09-23 00:28:29","-1620"
"Pelistal robot control","2","2212-09-23 00:28:27","-1080"
"Pelistal robot control","1","2212-09-23 00:28:25","-540"
"Nuimqol robot control","6","2212-09-19 23:43:48","-6480"
"Missile launch","5","2212-09-14 14:06:50","-300"
"Missile launch","4","2212-09-14 14:06:48","-240"
"Missile launch","3","2212-09-14 14:06:44","-180"
"Basic ballistics","5","2212-09-14 14:06:22","-900"
"Basic ballistics","4","2212-09-14 14:06:20","-720"
"Basic ballistics","3","2212-09-14 14:06:17","-540"
"Basic optics","5","2212-09-13 13:31:37","-900"
"Basic optics","4","2212-09-13 13:31:34","-720"
"Basic optics","3","2212-09-13 13:31:32","-540"
"Basic optics","2","2212-09-13 13:31:29","-360"
"Thelodica robot control","4","2212-09-11 12:11:06","-2160"
"Thelodica robot control","3","2212-09-10 21:13:00","-1620"
"Thelodica robot control","2","2212-09-10 21:12:58","-1080"
"Thelodica robot control","1","2212-09-10 21:12:57","-540"
"Basic optics","1","2212-09-10 21:12:11","-180"
"Improved armor repair","5","2212-09-10 20:37:20","-1800"
"Improved armor repair","4","2212-09-10 20:37:18","-1440"
"Improved armor repair","3","2212-09-10 20:37:17","-1080"
"Improved armor repair","2","2212-09-10 20:37:15","-720"
"Accumulator expansion","5","2212-09-10 20:36:56","-1500"
"Accumulator expansion","4","2212-09-10 20:36:54","-1200"
"Improved falloff","5","2212-09-10 20:35:53","-1200"
"Improved falloff","4","2212-09-10 20:35:52","-960"
"Demobilization","5","2212-09-10 20:35:17","-900"
"Demobilization","4","2212-09-10 20:35:15","-720"
"Economical weapon usage","4","2212-09-07 17:25:36","-1440"
"Economical weapon usage","3","2212-09-07 17:25:31","-1080"
"Economical weapon usage","2","2212-09-07 17:25:28","-720"
"Economical weapon usage","1","2212-09-07 17:25:24","-360"
"Optimized weapon usage","5","2212-09-07 17:25:20","-900"
"Optimized weapon usage","4","2212-09-07 17:25:18","-720"
"Optimized weapon usage","3","2212-09-07 17:25:17","-540"
"Optimized weapon usage","2","2212-09-07 17:25:15","-360"
"Reactor expansion","7","2212-09-07 17:23:57","-1260"
"Economical armor usage","3","2212-09-07 17:23:31","-180"
"Economical armor usage","2","2212-09-07 17:23:27","-120"
"Optimized armor usage","3","2212-08-22 21:08:40","-180"
"Optimized armor usage","2","2212-08-22 21:08:37","-120"
"Long range targeting","6","2212-08-22 21:06:59","-720"
"Complex mechanics","5","2212-08-22 21:06:03","-600"
